Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launch Site,Date,Time
18,F9 v1.1[,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Turkmenistan NationalSpace Agency,Success,No attempt,Cape Canaveral,27 April 2015,23:03
19,F9 v1.1[,,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,Precluded,Cape Canaveral,28 June 2015,14:21
20,F9 FT[,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,Success,Success,Cape Canaveral,22 December 2015,01:29
21,F9 v1.1[,,Jason-3,553 kg,LEO,NASA,Success,Failure,VAFB,17 January 2016,18:42
22,F9 FT[,,SES-9,"5,271 kg",GTO,SES,Success,Failure,Cape Canaveral,4 March 2016,23:35
23,F9 FT[,,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,Success,Cape Canaveral,8 April 2016,20:43
24,F9 FT[,,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,Success,Cape Canaveral,6 May 2016,05:21
25,F9 FT[,,Thaicom 8,"3,100 kg",GTO,Thaicom,Success,Success,Cape Canaveral,27 May 2016,21:39
26,F9 FT[,,ABS-2A,"3,600 kg",GTO,ABS,Success,Failure,Cape Canaveral,15 June 2016,14:29
27,F9 FT[,,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,Success,Cape Canaveral,18 July 2016,04:45
28,F9 FT[,,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,Success,Cape Canaveral,14 August 2016,05:26
29,F9 FT[,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success,VAFB,14 January 2017,17:54
30,F9 FT[,,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,Success,KSC,19 February 2017,14:39
31,F9 FT[,,EchoStar 23,"5,600 kg",GTO,EchoStar,Success,No attempt,KSC,16 March 2017,06:00
32,F9 FT♺[,,SES-10,"5,300 kg",GTO,SES,Success,Success,KSC,30 March 2017,22:27
33,F9 FT[,,NROL-76,C,LEO,NRO,Success,Success,KSC,1 May 2017,11:15
34,F9 FT[,,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,No attempt,KSC,15 May 2017,23:21
35,F9 FT[,,SpaceX CRS-11,"2,708 kg",LEO,NASA,Success,Success,KSC,3 June 2017,21:07
36,F9 FTB1029.2195,,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,Success,Success,KSC,23 June 2017,19:10
37,F9 FT[,,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,Success,VAFB,25 June 2017,20:25
38,F9 FT[,,Intelsat 35e,"6,761 kg",GTO,Intelsat,Success,No attempt,KSC,5 July 2017,23:38
39,F9 B4[,,SpaceX CRS-12,"3,310 kg",LEO,NASA,Success,Success,KSC,14 August 2017,16:31
40,F9 FT[,,Formosat-5,475 kg,SSO,NSPO,Success,Success,VAFB,24 August 2017,18:51
41,F9 B4[,,Boeing X-37B,"4,990 kg",LEO,USAF,Success,Success,KSC,7 September 2017,14:00
42,F9 B4[,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success,VAFB,9 October 2017,12:37
43,F9 FTB1031.2220,,SES-11,"5,200 kg",GTO,SES S.A.,Success,Success,KSC,11 October 2017,22:53:00
44,F9 B4[,,Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,Success,KSC,30 October 2017,19:34
45,F9 FTB1035.2227,,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,Success,Cape Canaveral,15 December 2017,15:36
46,F9 FTB1036.2227,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Controlled,VAFB,23 December 2017,01:27
47,F9 B4[,,Zuma,C,LEO,Northrop Grumman,Success,Success,CCAFS,8 January 2018,01:00
48,F9 FTB1032.2245,,GovSat-1,"4,230 kg",GTO,SES,Success,Controlled,CCAFS,31 January 2018,21:25
49,F9 FTB1038.2268,,Paz,"2,150 kg",SSO,Hisdesat,Success,No attempt,VAFB,22 February 2018,14:17
50,F9 B4[,,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,No attempt,CCAFS,6 March 2018,05:33
51,F9 B4B1041.2268,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,No attempt,VAFB,30 March 2018,14:14
52,F9 B4B1039.2292,,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,No attempt,CCAFS,2 April 2018,20:30
53,F9 B4[,,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,Success,CCAFS,18 April 2018,22:51
54,F9 B5311B1046.1268,,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,Success,KSC,11 May 2018,20:14
55,F9 B4B1043.2322,,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,No attempt,VAFB,22 May 2018,19:47
56,F9 B4B1040.2268,,SES-12,"5,384 kg",GTO,SES,Success,No attempt,CCAFS,4 June 2018,04:45
57,F9 B4B1045.2336,,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,No attempt,CCAFS,29 June 2018,09:42
58,F9 B5,,Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success,CCAFS,22 July 2018,05:50
59,F9 B5349B1048[,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success,VAFB,25 July 2018,11:39
60,F9 B5B1046.2354,,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,Success,CCAFS,7 August 2018,05:18
61,F9 B5[,,Telstar 18V,"7,060 kg",GTO,Telesat,Success,Success,CCAFS,10 September 2018,04:45
62,F9 B5B1048.2364,,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,Success,VAFB,8 October 2018,02:22
63,F9 B5B1047.2268,,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,Success,KSC,15 November 2018,20:46
64,F9 B5B1046.3268,,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,Success,VAFB,3 December 2018,18:34:05
65,F9 B5[,,SpaceX CRS-16,"2,500 kg",LEO,NASA,Success,Failure,CCAFS,5 December 2018,18:16
66,F9 B5[,,GPS III,"4,400 kg",MEO,USAF,Success,No attempt,CCAFS,23 December 2018,13:51
67,F9 B5B1049.2397,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success,VAFB,11 January 2019,15:31
68,F9 B5B1048.3399,,Nusantara Satu,"4,850 kg",GTO,PSN,Success,Success,CCAFS,22 February 2019,01:45
69,F9 B5[]413,,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,Success,Success,KSC,2 March 2019,07:49
70,F9 B5[,,SpaceX CRS-17,"2,495 kg",LEO,NASA,Success,Success,CCAFS,4 May 2019,06:48
71,F9 B5B1049.3434,,Starlink,"13,620 kg",LEO,SpaceX,Success,Success,CCAFS,24 May 2019,02:30
72,F9 B5B1051.2420,,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,Success,Success,VAFB,12 June 2019,14:17
73,F9 B5B1056.2465,,SpaceX CRS-18,"2,268 kg",LEO,NASA,Success,Success,CCAFS,25 July 2019,22:01
74,F9 B5B1047.3472,,AMOS-17,"6,500 kg",GTO,Spacecom,Success,No attempt,CCAFS,6 August 2019,23:23
75,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,11 November 2019,14:56
76,F9 B5[,,SpaceX CRS-19,"2,617 kg",LEO,NASA,Success,Success,CCAFS,5 December 2019,17:29
77,F9 B5B1056.3482,,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,Success,Success,CCAFS,17 December 2019,00:10
78,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,7 January 2020,02:19:21
79,F9 B5,,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,Success,"No attempt
",KSC,19 January 2020,15:30
80,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,29 January 2020,14:07
81,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Failure,CCAFS,17 February 2020,15:05
82,F9 B5,,SpaceX CRS-20,"1,977 kg",LEO,NASA,Success,Success,CCAFS,7 March 2020,04:50
83,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Failure,KSC,18 March 2020,12:16
84,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,22 April 2020,19:30
85,F9 B5[,,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,Success,Success,KSC,30 May 2020,19:22
86,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,4 June 2020,01:25
87,F9 B5,,Starlink,"15,410 kg",LEO,SpaceX,Success,Success,CCAFS,13 June 2020,09:21
88,F9 B5,,GPS III,"4,311 kg",MEO,U.S. Space Force,Success,Success,CCAFS,30 June 2020,20:10:46
89,F9 B5B1058.2544,,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,Success,CCAFS,20 July 2020,21:30
90,F9 B5,,Starlink,"14,932 kg",LEO,SpaceX,Success,Success,KSC,7 August 2020,05:12
91,F9 B5B1049.6544,,Starlink,"~15,440 kg",LEO,SpaceX,Success,Success,CCAFS,18 August 2020,14:31
92,F9 B5,,SAOCOM 1B,"3,130 kg",SSO,CONAE,Success,Success,CCAFS,30 August 2020,23:18
93,F9 B5B1060.2563,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,3 September 2020,12:46:14
94,F9 B5B1058.3565,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,6 October 2020,11:29:34
95,F9 B5B1051.6568,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,18 October 2020,12:25:57
96,F9 B5,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,24 October 2020,15:31:34
97,F9 B5,,GPS III,"4,311 kg",MEO,USSF,Success,Success,CCAFS,5 November 2020,23:24:23
98,F9 B5[,,Crew-1,"~12,500 kg",LEO,NASA,Success,Success,KSC,16 November 2020,00:27
99,F9 B5,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,Success,VAFB,21 November 2020,17:17:08
100,F9 B5 ♺[,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCAFS,25 November 2020,02:13
101,F9 B5 ♺[,,SpaceX CRS-21,"2,972 kg",LEO,NASA,Success,Success,KSC,6 December 2020,16:17:08
102,F9 B5 ♺,,SXM-7,"7,000 kg",GTO,Sirius XM,Success,Success,CCSFS,13 December 2020,17:30:00
103,F9 B5 ♺,,NROL-108,C,LEO,NRO,Success,Success,KSC,19 December 2020,14:00:00
104,F9 B5,,Türksat 5A,"3,500 kg",GTO,Türksat,Success,Success,CCSFS,8 January 2021,02:15
105,F9 B5B1051.8609,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,20 January 2021,13:02
106,F9 B5B1058.5613,,Transporter-1,"~5,000 kg",SSO,Various,Success,Success,CCSFS,24 January 2021,15:00
107,F9 B5 ♺[,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,4 February 2021,06:19
108,F9 B5 ♺,,Starlink,"15,600 kg",LEO,SpaceX,Success,Failure,CCSFS,16 February 2021,03:59:37
109,F9 B5 ♺[,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,4 March 2021,08:24
110,F9 B5 ♺[,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,11 March 2021,08:13:29
111,F9 B5 ♺,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,14 March 2021,10:01
112,F9 B5B1060.6643,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,24 March 2021,08:28
113,F9 B5 ♺,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,7 April 2021,16:34
114,F9 B5B1061.2647,,Crew-2,"~13,000 kg",LEO,NASA,Success,Success,KSC,23 April 2021,9:49
115,F9 B5B1060.7652,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,29 April 2021,03:44
116,F9 B5B1049.9655,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,KSC,4 May 2021,19:01
117,F9 B5B1051.10657,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,9 May 2021,06:42
118,F9 B5B1058.8660,,Starlink,"~14,000 kg",LEO,SpaceX,Success,Success,KSC,15 May 2021,22:56
119,F9 B5B1063.2665,,Starlink,"15,600 kg",LEO,SpaceX,Success,Success,CCSFS,26 May 2021,18:59
120,F9 B5B1067.1668,,SpaceX CRS-22,"3,328 kg",LEO,NASA,Success,Success,KSC,3 June 2021,17:29
121,F9 B5,,SXM-8,"7,000 kg",GTO,Sirius XM,Success,Success,CCSFS,6 June 2021,04:26
